review_text,review_posted_date,review_header,review_rating,review_author
"Pros: 1) Decent Video/audio recording with minimum distortion. (noise cancellation is much much better than Redmi 5a) 2) Decent Camera for a budget phone. 3) good for Android smartphone beginners. 4) Can run 3-4 apps in the background without lag/hanging. 5) Fast boot. 6) Good touch response for a budget phone, I find it to extra sensitive. haha Cons: 1) Bad Video quality for watching movies/ you tube. But I use phone only for calls, whatsapp and sometimes Instagram. I use my laptop to watch movies, so not a big deal for me. 2) Unable to share Internet hotspot to computer/Laptop. But I posted a tip on how to solve this problem in MI community India. All you need to do is download an app called PDANet+ (available in Google play store) in both your phone and computer. Go and check it out. Apart from the few drawbacks mentioned above, this phone is quite good for a budget phone. If you can live without the good video quality by watching movies/videos on another device, go for it. The 1440X720 resolution is much worse compared to Redmi 5a's 1280X720. In fact Redmi 5a's video/picture resolution is much better and detailed compared to Redmi 6a. Ordered and received another redmi 6a for my dad.",25 Oct 2018,"GOOd budget phone, but...",3.0 ,Kk
"I am a big fan of redmi products. I have redmi2, redmi 2 prime and redmi note4. So, I decided to by a phone for my Dad and purchased Redmi 6A thinking is its same or better than its ancestor . But all my assumptions failed and here are my detailed analysis 1. Picture quality is not full HD and you don't enjoy if you already have full HD phone 2. Camera very very poor quality 3. Ram size is only 2GB and 16 GB thats bad for the price 5999 and that to long wait. Note: I returned this phone and purchased Lenova K8 plus which is awesome with specs 3GB ram and 32 GB harddisk with depth enabled camera and stock android. Redmi this time you failed me",16 Nov 2018,Don't just because its cheaper price,2.0 ,UMESH RANGASWAMY
"Android Oreo 8 itself required 2GB RAM and consuming entire RAM. no memory for applications. Videos play are not good. Not good for Amazon prime videos and hooq. Bloatware found difficult to remove. Not good for e-commerce and mobile banking. Internet browsing experience is unhappy. Poor performance because lack of memory. Just useful for basic phone calls. Only some small applications run without lagging. Worst and limited user interface. Very costly basic phone. Reliance Jio basic phone is far better than this one. This is my first highly unsatisfied purchase from Amazon. My recent 10 or G,even my old GIONEE M2 is better than this. I am not understanding how companies are releasing Oreo 8 phones with 2GB RAM. The hardware configuration may good but difficult to judge because of less RAM. *My personal suggestion* Don't buy any phone with 2GB RAM with Android Oreo 8, what ever the hardware configuration may be. You need atleast 3GB RAM.",30 Oct 2018,Waste of money,2.0 ,NVVRK PRASAD
I was quite skeptical before buying this phone for my son. I had read many bad as well as gud reviews about it so was quite confused 😕 Finally I placed the order and bought it through Amazon. Believe me it fabulous product so far. The screen is apt and very clear. Battery life is very gud and lasts full whole day with heavy use by my son on games etc. Memory is 32 GB so lot of space for apps and other material. Infact in these days one shud not buy phone less than 32 GB memory as the no of apps we use are quite large in number and that itself consume huge space. Phone is quite light weight and very smart. I chose blue color and believe me it looks classy. Only issue it does not come with earphones🤔🤔🤔 I respect the adverse reviews of many customers as they might have faced some issues but I recommend this to all buyers. In nutshell its not only value for money but gud choice too. Cheers 👍🥂,17 Nov 2018,Great product yet economical 👍,5.0 ,Anand latwal
"The Service center service at MI is very bad, You go with one problem and come back with many other issues, samsung or oppo phone, service is the best thats what my friends say, Mi may look attractive with the price tag, but after sales is service is not good experience, think twice before buying MI Phones.",04 Oct 2018,Poor MI Service,1.0 ,UTTAM KUMAR SINGH
"Love the phone. Everything on it works as expected. I've been using this phone for about 1 weeks, and so far I'm loving it. Here's me breakdown: The quality, fit and finish are amazing. No one believes this is low priced phone. Battery: exceptional battery life, the best in any smartphone I've had so far. Build/design: one of the best smartphone designs and build quality I've used, even compared to much more expensive models. Camera: not as good as my Honor 7C, but still takes good enough pictures that it's not really a problem for me. Really littil bit difficult to find fault with this phone, especially for the price even I don't like the audio quality. overall Best Product. Durable solid feel, very responsive and works great overall.",14 Nov 2018,"Exceptional value 😍 Perfect phone for any use, beautifully built.",4.0 ,Deepankar_Singh
Airtel/jio/bsnl sim cards works fine but handset have problem with IDEA Sim,15 Oct 2018,IDEA Sim not working,3.0 ,Abhyuday
"If u want to gift for parents I think this will be good option.This phone is not for heavy users that doesn't mean that u cannot use this for daily use .Yes u can use but playing heavy games like pubg etc will impact the performance. For the price this phone is good. Pros: Build quality is decent,Camera is good both front and back for this price ,display is good,decent battery life,Dual 4g volte ... Cons: Performance is average not the best in this price range but for daily use this will phone will be good. Should have provided case or screen guard in the box. I am not the big fan of miui (It is personal preference) Annoying Ads in miui . (Hope this comment is helpful)",30 Oct 2018,Bought because of Dual 4g volte(,5.0 ,SHARATH A.G
"Good phone at low price , camera is good and if you want to give gift to your younger ones then it is a good choice. I ordered this for my younger brother who just become 17th. This is a good gift option. Camera 10/9 Screen 10/9 Battery backup 10/9 Charger 10/10 If mi add earphone in phone box as a accessories then it Will be good for customers",12 Dec 2018,Value for money,5.0 ,Pradeep kanaujiya
"Taking away IR blaster is certainly a turn-off, when all its lower end offerings have it.. And switching from Qualcomm to Mediatek is like hiring a donkey after having ridden a horse! Go for 5A instead..",31 Oct 2018,First Xiaomi phone that might not live upto your expectation!,3.0 ,Dharam Balani
